exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,30.548924550750397207000000000000000000,5290184641.0251605820814682,754,True,https://www.binance.com/,1725008399340
crypto,Crypto.com Exchange,2,12.583717579102836031000000000000000000,2179133650.1347614080352077,110,False,https://api.crypto.com/,1725008393464
gdax,Coinbase Pro,3,8.569236897533982474000000000000000000,1483942432.9105171588877919,212,True,https://pro.coinbase.com/,1725008407713
whitebit,WhiteBIT,4,7.528222200810246741000000000000000000,1303668984.9683343419309444,95,False,https://whitebit.com,1725008409386
digifinex,DigiFinex,5,4.686013476489931964000000000000000000,811481153.1182043625882667,121,False,https://www.digifinex.com/,1725008410204
lbank,LBank,6,4.253950865796902822000000000000000000,736660483.6294203175993805,88,False,https://www.lbank.info,1725008409435
huobi,Huobi,7,4.141226447175469337000000000000000000,717139895.0381944497062186,181,True,https://www.hbg.com/,1725008410193
gate,Gate,8,4.097432481373729551000000000000000000,709556054.7341254131919911,1282,False,https://gate.io/,1725008409660
kraken,Kraken,9,3.392610834420270648000000000000000000,587501458.5017465215600464,324,False,https://kraken.com,1725008409287
bitmax,AscendEX (Bitmax),10,3.083033436637141266000000000000000000,533891663.0983067297261879,169,False,https://www.bitmax.io/,1725008381976
probit,ProBit,11,2.479885590788623203000000000000000000,429444010.1187564498916767,350,False,https://www.probit.com/en-us/,1725008409689
bigone,BigONE,12,2.128999726283083994000000000000000000,368680790.5142076368445800,63,False,https://big.one/,1725008408583
kucoin,Kucoin,13,2.051415284924418777000000000000000000,355245423.2764419422809811,514,False,https://www.kucoin.io/,1725008410256
bitstamp,Bitstamp,14,1.622162652644603206000000000000000000,280911360.2676503179868823,90,True,https://www.bitstamp.net/,1725008409815
tidex,Tidex,15,1.292423577927760881000000000000000000,223810149.2016117091191423,18,False,https://tidex.com/,1725008409675
yobit,YoBit,16,1.181973194240402093000000000000000000,204683357.2778073501574520,61,False,https://yobit.net,1725008409936
bitfinex,Bitfinex,17,1.141399249951744389000000000000000000,197657130.9847971413815975,165,True,https://bitfinex.com,1725008397782
bibox,Bibox,18,0.983988877620801263000000000000000000,170398235.7441543007705215,126,False,https://www.bibox.com,1725008386646
currency-com,Currency.com,19,0.872933080269770254000000000000000000,151166603.7936673368654920,65,False,https://currency.com/,1725008409917
dex-trade,Dex-Trade,20,0.728353297273480322000000000000000000,126129593.2063032730898080,88,False,https://dex-trade.com/,1725008406176
hitbtc,HitBTC,21,0.476072888425490977000000000000000000,82441968.7237452385874127,624,True,https://hitbtc.com/,1725008410251
coincheck,coincheck,22,0.365289238128112711000000000000000000,63257464.7224252651645149,1,False,coincheck,1725008404450
btcturk,BTCTurk,23,0.256862756513413443000000000000000000,44481153.7342733327247991,77,False,https://www.btcturk.com/,1725008365195
gemini,Gemini,24,0.251330747588431077000000000000000000,43523170.7911966358826237,61,True,https://gemini.com/,1725008409332
independentreserve,Independent Reserve,25,0.243721211078936533000000000000000000,42205420.5345232169094748,96,False,https://www.independentreserve.com/,1725008408576
alterdice,Alterdice,26,0.189457491037499003000000000000000000,32808523.5062430313584239,4,False,https://alterdice.com/,1725008409782
